tunecache	0.7.0	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=5050	# Last updated Tue Jun  9 10:01:28 2015

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
24x48x48x4	N4quda11axpyCGNorm2I7double26float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=-1	128	1	1	97	1	1	2048	# 80.54 Gflop/s, 161.07 GB/s, tuned Wed Feb 25 07:38:43 2015
24x48x48x4	N4quda11axpyCGNorm2I7double26float26float4EE	vol=221184,stride=221184,precision=4,TwistFlavour=1	128	1	1	98	1	1	2048	# 80.75 Gflop/s, 161.50 GB/s, tuned Wed Feb 25 01:59:58 2015
24x48x48x4	N4quda16WilsonDslashCudaI7double2S1_EE	type=exterior_t,comm=0001,reconstruct=18,Xpay	448	1	1	494	1	1	8193	# 560.60 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:39 2015
24x48x48x4	N4quda16WilsonDslashCudaI7double2S1_EE	type=exterior_t,comm=0001,reconstruct=8,Xpay	64	1	1	3456	1	1	0	# 582.03 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:34 2015
24x48x48x4	N4quda16WilsonDslashCudaI7double2S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=18,Xpay	256	1	1	864	1	1	6145	# 109.50 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 09:16:39 2015
24x48x48x4	N4quda16WilsonDslashCudaI7double2S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,Xpay	96	1	1	2304	1	1	0	# 140.11 Gflop/s, 0.00 GB/s, tuned Wed Feb 25 01:58:34 2015
24x48x48x4	N4quda21TwistCloverGamma5CudaI7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=-1	384	1	1	576	1	1	0	# 2.62 Gflop/s, 52.48 GB/s, tuned Wed Feb 25 07:37:29 2015
24x48x48x4	N4quda21TwistCloverGamma5CudaI7double2S1_EE	vol=221184,stride=221184,precision=8,TwistFlavour=1	384	1	1	576	1	1	0	# 2.60 Gflop/s, 52.08 GB/s, tuned Wed Feb 25 01:58:34 2015
24x48x48x4	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	vol=221184,stride=221184,precision=8,TwistFlavour=-1	64	1	1	112	1	1	1536	# 42.37 Gflop/s, 169.46 GB/s, tuned Wed Feb 25 07:38:23 2015
24x48x48x4	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	vol=221184,stride=221184,precision=8,TwistFlavour=1	96	1	1	56	1	1	2304	# 42.16 Gflop/s, 168.66 GB/s, tuned Wed Feb 25 01:59:36 2015
